bacteria,underweight,lean,overweight,obese,severeobese,morbidobese
Prevotella melaninogenica et rel.,53014.33037,82784.08617,49604.59352,125655.5586,132448.2463,179226.338
Oscillospira guillermondii et rel.,68666.39241,71156.71665,60753.04504,91651.44992,86106.23063,100645.6663
Faecalibacterium prausnitzii et rel.,75233.49263,77843.35055,77228.68863,65540.84063,61030.25274,42652.80236
Bacteroides vulgatus et rel.,32754.5734,40067.47662,48240.36194,67400.75147,93930.23808,124967.871
Ruminococcus obeum et rel.,37729.27957,44517.32708,45479.46551,33025.35359,29567.69452,18922.79787
Subdoligranulum variable at rel.,46381.22235,37325.71426,44036.84158,30153.76192,25879.45965,14520.07532
Clostridium cellulosi et rel.,22830.34012,23447.14917,24603.38231,27288.27506,25549.40371,14382.86431
Prevotella oralis et rel.,8317.045194,13673.13517,8331.348538,19987.75172,20775.02109,28121.8157
Allistipes et rel.,8975.217099,10649.49207,9847.918729,18672.42385,16197.45868,16755.04757
Sporobacter termitidis et rel.,26411.1761,27548.92894,25377.02232,25682.92252,23256.9279,23081.09833
Coprococcus eutactus et rel.,17508.2897,20725.6762,21329.26121,15930.42723,13557.09796,9322.912127
Escherichia coli et rel.,871.6004713,1262.232386,5310.251525,1209.842432,2248.051632,704.7014574
