bacteria,CentralEurope,EasternEurope,Scandinavia,SouthEurope,UKIE,US
Prevotella melaninogenica et rel.,119276.1953,836.2308647,48105.56998,48476.72668,78237.18719,74255.25651
Prevotella oralis et rel.,18966.16209,374.848025,8808.34107,8082.495,11521.75246,11325.38415
Faecalibacterium prausnitzii et rel.,64871.09951,90686.88109,91000.03919,80455.21676,71367.62408,48492.44594
Bacteroides vulgatus et rel.,67315.17994,26948.36545,27190.87555,43245.82981,46447.47614,71020.1605
Oscillospira guillermondii et rel.,95039.62237,4462.982908,43520.32973,64410.41024,59927.61986,29197.65348
Sporobacter termitidis et rel.,29154.81275,10521.25788,22427.38883,26416.83951,20866.64057,9772.490922
Subdoligranulum variable at rel.,31480.67118,26946.91292,45177.77591,43868.16039,32996.95023,18094.25168
Ruminococcus obeum et rel.,31625.55897,41960.17446,51770.5866,54611.71102,38880.98685,64638.22512
Coprococcus eutactus et rel.,14796.05298,17663.63187,24598.29841,25736.79463,21368.54915,24414.4757
Escherichia coli et rel.,1104.410714,856.2336159,4006.420772,1050.090025,855.9253079,8842.334356
Clostridium cellulosi et rel.,24575.0424,15745.86181,20023.69331,31613.26867,17579.30866,48224.91487
Allistipes et rel.,15060.52214,9193.456899,7154.415204,14476.74621,12046.1472,14393.862
Dialister,4842.703591,1810.044566,3692.446467,3441.823655,6086.908231,12616.35792
Uncultured Clostridium (sensu stricto)les I,12374.16235,1292.160258,10838.04093,14552.37341,10820.44832,4840.173369
